Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,Selection_Markers,Mod_Method,Mod_Direction
6412340.pdf,10.3390/ijms20040866,Oryza sativa,CRISPR/Cas9 knockout,Leaf Morphology,"Flag leaf length: 30 cm (WT), 25 cm (MT-1), 20 cm (MT-2); Flag leaf width: 1.5 cm (WT), 1.0 cm (MT-1), 0.5 cm (MT-2); Flag leaf area: 30 cm² (WT), 25 cm² (MT-1), 20 cm² (MT-2)",,"Leaf Property, Grain Yield",LOC_Os09g26999,,CRISPR/Cas9,Knockdown/Out
6412738.pdf,10.3390/ijms20040807,Oryza sativa,Agrobacterium-mediated overexpression,Enhanced disease resistance,"Lesion area: 11.3-19.0% (OE-1, OE-2, OE-3); Control: 51.4% | Disease index: 23.11% (OE-3), 20.97% (OE-7); Control: 50.78%",CaMV35S,Disease Resistance,ZmRAD51A,,Agrobacterium,Overexpression
6428781.pdf,10.3389/fpls.2019.00311,Arabidopsis thaliana,T-DNA insertional knockout,Wound-induced lateral root formation,LR number: 8.17 ± 2.12; PR length: 1.30 ± 0.45 | LR number: 8.17 ± 2.12; PR length: 0.5 cm | LR number: 6.33 ± 1.80; PR length: 1.8 cm | LR number: 4.00 ± 1.35; PR length: 2.5 cm,,"Root Property, Root Yield",At5g19710,,Unknown,Knockdown/Out
6428781.pdf,10.3389/fpls.2019.00311,Arabidopsis thaliana,Non-synonymous SNP,Wound-induced lateral root formation,LR number: 8.17 ± 2.12; PR length: 1.30 ± 0.45 | LR number: 8.17 ± 2.12; PR length: 0.5 cm | LR number: 6.33 ± 1.80; PR length: 1.8 cm | LR number: 4.00 ± 1.35; PR length: 2.5 cm,,"Root Property, Root Yield",At5g19710,,Unknown,Modification
6429524.pdf,10.3390/molecules24050852,Holotrichia diomphalia,CRISPR/Cas9 knockout,Reduction in Th2 cytokine expression,IL-5 expression decreased by 40%; IL-13 expression decreased by 60%,,"Disease Resistance, Immunomodulation",GATA-3,,CRISPR/Cas9,Knockdown/Out
6433927.pdf,10.1038/s42003-019-0354-1,Zea mays,overexpression,feminization of tassels,JA levels decreased; 12OH-JA-Ile levels increased | FBN/TBN ratio: 0.0 (wild type); 1.0 (ts2); 1.5 (Ts5); 2.0 (ts2; Ts5) | Mean height: 200 cm (wild type); 180 cm (Ts5/+) | JA levels: Lower in Ts5; 12OH-JA-Ile levels: Higher in Ts5,,"Above-Ground Biomass Property, Flowering",ZmCYP94B1,,Unknown,Overexpression
6433927.pdf,10.1038/s42003-019-0354-1,Zea mays,overexpression,feminization of tassels,JA levels decreased; 12OH-JA-Ile levels increased | FBN/TBN ratio: 0.0 (wild type); 1.0 (ts2); 1.5 (Ts5); 2.0 (ts2; Ts5) | Mean height: 200 cm (wild type); 180 cm (Ts5/+) | JA levels: Lower in Ts5; 12OH-JA-Ile levels: Higher in Ts5,,"Flowering, Sex Determination",ZmCYP94B1,,Unknown,Overexpression
6436160.pdf,10.1093/jxb/erz055,Arabidopsis thaliana,T-DNA insertional knockout,"Growth retardation, male gametophytic sterility",GlcN content decreased by 90%; UDP-GlcNAc content decreased by 90% | GlcN content increased by 200%; UDP-GlcNAc content increased by 200% | GlcN content decreased by 50%; UDP-GlcNAc content decreased by 50% | Growth defect; reduced silique length; decreased seed yield | Increased GlcN content; enhanced Tm resistance | Decreased GlcN content; impaired pollen germination,,"Plant Transformation, Gene Expression",AtGFAT1,,Unknown,Knockdown/Out
6436160.pdf,10.1093/jxb/erz055,Arabidopsis thaliana,T-DNA insertional knockout,"Growth retardation, male gametophytic sterility",GlcN content decreased by 90%; UDP-GlcNAc content decreased by 90% | GlcN content increased by 200%; UDP-GlcNAc content increased by 200% | GlcN content decreased by 50%; UDP-GlcNAc content decreased by 50% | Growth defect; reduced silique length; decreased seed yield | Increased GlcN content; enhanced Tm resistance | Decreased GlcN content; impaired pollen germination,,"Above-Ground Biomass Property, Flowering, Seed Property",AtGFAT1,,Unknown,Knockdown/Out
6441654.pdf,10.1038/s41438-019-0131-9,Eriobotrya japonica,Overexpression,Increased lignin content,Lignin content increased by 15%; Expression level increased by 2.5-fold | Lignin content decreased by 10%; Expression level decreased by 1.8-fold | Lignin content decreased by 8%; Expression level decreased by 1.5-fold,,"Fruit Property, Disease Resistance",EjPAL2,,Unknown,Overexpression
6441654.pdf,10.1038/s41438-019-0131-9,Eriobotrya japonica,Overexpression,Decreased lignin content,Lignin content increased by 15%; Expression level increased by 2.5-fold | Lignin content decreased by 10%; Expression level decreased by 1.8-fold | Lignin content decreased by 8%; Expression level decreased by 1.5-fold,,"Fruit Property, Disease Resistance",EjPAL2,,Unknown,Overexpression
6451029.pdf,10.1038/s41598-019-42177-y,Triticum aestivum,Agrobacterium-mediated overexpression using the pUbi promoter,Enhanced powdery mildew resistance,Increased TaPR1/2 gene expression; Higher reactive oxygen species (ROS) accumulation,pUbi,Disease Resistance,TaJAZ1,,Agrobacterium,Overexpression
6451029.pdf,10.1038/s41598-019-42177-y,Triticum aestivum,Overexpression using pUbi promoter,Enhanced powdery mildew resistance,Increased TaPR1/2 gene expression; Higher reactive oxygen species (ROS) accumulation,pUbi,Disease Resistance,TaJAZ1,,Unknown,Overexpression
6464244.pdf,10.1371/journal.ppat.1007620,Triticum aestivum,transgenic expression,increased susceptibility to infection,higher proportion of germinated conidia forming haustoria,,"Disease Resistance, Plant Transformation",CSEP0064/BEC1054,,Unknown,Modification
6470564.pdf,10.3390/molecules24061101,Diospyros kaki,Natural,Antioxidant activity,Concentration: 3.12 ± 0.21 mg/g; Recovery: 92.8 ± 0.8% | Concentration: 1.68 ± 0.14 mg/g; Recovery: 84.3 ± 0.5% | Concentration: 1.65 ± 0.18 mg/g; Recovery: 88.6 ± 1.4% | Concentration: 2.73 ± 0.15 mg/g; Recovery: 90.4 ± 0.8% | Concentration: 0.52 ± 0.13 mg/g; Recovery: 107.4 ± 1.7% | Concentration: 5.19 ± 0.10 mg/g; Recovery: 101.2 ± 5.3% | Concentration: 6.43 ± 0.35 mg/g; Recovery: 95.6 ± 1.3% | EC50: 119 ± 6 μM (DPPH); EC50: 80 ± 3 μM (ABTS) | EC50: 140 ± 2 μM (DPPH); EC50: 81 ± 2 μM (ABTS),,"Gene Expression, Chemicals",Kaempferol-3-O-glucoside,,Unknown,Modification
6470564.pdf,10.3390/molecules24061101,Diospyros kaki,Natural,Antioxidant activity,Concentration: 3.12 ± 0.21 mg/g; Recovery: 92.8 ± 0.8% | Concentration: 1.68 ± 0.14 mg/g; Recovery: 84.3 ± 0.5% | Concentration: 1.65 ± 0.18 mg/g; Recovery: 88.6 ± 1.4% | Concentration: 2.73 ± 0.15 mg/g; Recovery: 90.4 ± 0.8% | Concentration: 0.52 ± 0.13 mg/g; Recovery: 107.4 ± 1.7% | Concentration: 5.19 ± 0.10 mg/g; Recovery: 101.2 ± 5.3% | Concentration: 6.43 ± 0.35 mg/g; Recovery: 95.6 ± 1.3% | EC50: 119 ± 6 μM (DPPH); EC50: 80 ± 3 μM (ABTS) | EC50: 140 ± 2 μM (DPPH); EC50: 81 ± 2 μM (ABTS),,"Anti-Oxidative Property, Biosensing",Kaempferol-3-O-glucoside,,Unknown,Modification
6470693.pdf,10.3390/ijms20061303,Setaria italica,Agrobacterium-mediated overexpression,Drought tolerance,Higher survival rate under drought conditions; Lower MDA content under drought stress,,"Drought Tolerance, Disease Resistance",SiWLIM2b,,Agrobacterium,Overexpression
6478000.pdf,10.3389/fpls.2019.00461,Arabidopsis thaliana,T-DNA insertional knockout,Reduced adventitious root formation,Number of ARs: 1-4 at 2 dae; 5-8 at 3 dae; 8-12 at 4 dae; 9-12 at 6 dae,,"Root Property, Root Yield, Disease Resistance",ABCB19,,Unknown,Knockdown/Out
6478000.pdf,10.3389/fpls.2019.00461,Arabidopsis thaliana,T-DNA insertional knockout,Reduced adventitious root formation,Number of ARs: 1-4 at 2 dae; 5-8 at 3 dae; 8-12 at 4 dae; 9-12 at 6 dae,,"Root Property, Root Yield, Disease Resistance",PIN1,,Unknown,Knockdown/Out
6479188.pdf,10.3389/fpls.2019.00483,Triticum aestivum,RNAi,Increased synthesis of si/miRNA,1.5x; 2.0x; 3.0x; 2.5x,,"Disease Resistance, Gene Expression",si/miRNA,,RNAi,Modification
6487051.pdf,10.1186/s12863-019-0740-1,Brassica oleracea,Sequence variation with a 67 bp insertion in intron 2,Early flowering,83% phenotypic variation explained in F2 population; 80% match in commercial lines,,"Flowering, Genetic Markers",BoFLC1.C9,,Unknown,Modification
6489235.pdf,10.1186/s12896-019-0516-8,Arachis hypogaea,CRISPR/Cas9 knockout,Increased oleic acid content,Oleic acid content >80%; Oleic acid content 50–60%; Oleic acid content 40–50%,,"Disease Resistance, Photosynthesis, Lipid Metabolism","ahFAD2A, ahFAD2B",,CRISPR/Cas9,Knockdown/Out
6489235.pdf,10.1186/s12896-019-0516-8,Arachis hypogaea,CRISPR/Cas9-induced mutations,Increased oleic acid content,Oleic acid content >80%; Oleic acid content 50–60%; Oleic acid content 40–50%,,"Disease Resistance, Photosynthesis, Lipid Metabolism","ahFAD2A, ahFAD2B",,CRISPR/Cas9,Mutation
6506775.pdf,10.1093/jxb/erz095,Oryza sativa,CRISPR/Cas9 knockout; Agrobacterium-mediated overexpression,delayed leaf senescence,Relative transcript levels of OsMYB102 in senescing WT leaves: 1.0; Relative transcript levels of OsMYB102 in detached leaf discs during DIS: 2.0; Relative ABA content in osmyb102-D and OsMYB102-OX lines: 0.8,35S promoter,Leaf Property; Disease Resistance,OsMYB102,,Agrobacterium,Overexpression
6508531.pdf,10.1002/pld3.49,Oryza sativa,Agrobacterium-mediated gene-targeting system (homologous recombination),Root-specific expression of RSOsPR10,GUS mRNA levels: 0.3 (mock) vs. 2.34 (JA-treated) | RSOsPR10 expression levels: 1.0 (wild-type) vs. 0.3 (OsWRKY76-KO) | RSOsPR10 expression levels: 0.5 (wild-type) vs. 1.5 (OsERF87 overexpressing) | Fold change in expression: 2.34 (JA treatment); 1.97 (JA treatment with GCC box mutations); 2.21 (JA treatment with W box mutation),RSOsPR10 promoter | RSOsPR10,"Above-Ground Biomass Property, Drought Tolerance",RSOsPR10,,Agrobacterium,Modification
6508531.pdf,10.1002/pld3.49,Oryza sativa,Agrobacterium-mediated gene-targeting system (homologous recombination),Root-specific expression of RSOsPR10,GUS mRNA levels: 0.3 (mock) vs. 2.34 (JA-treated) | RSOsPR10 expression levels: 1.0 (wild-type) vs. 0.3 (OsWRKY76-KO) | RSOsPR10 expression levels: 0.5 (wild-type) vs. 1.5 (OsERF87 overexpressing) | Fold change in expression: 2.34 (JA treatment); 1.97 (JA treatment with GCC box mutations); 2.21 (JA treatment with W box mutation),RSOsPR10 promoter | RSOsPR10,"Disease Resistance, Drought Tolerance",RSOsPR10,,Agrobacterium,Modification
6508535.pdf,10.1002/pld3.18,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Rescued hypocotyl elongation,Hypocotyl length: 2.0 mm (wild type); 5.0 mm (elf3-2 mutant); 1.5-2.5 mm (transgenic lines) | Days to flowering: 20 days (wild type); 40 days (elf3-2 mutant); 25-35 days (transgenic lines),35S Cauliflower mosaic virus promoter,"Plant Transformation, Flowering, Disease Resistance",ELF3,,Agrobacterium,Overexpression
6508535.pdf,10.1002/pld3.18,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Rescued flowering defects,Hypocotyl length: 2.0 mm (wild type); 5.0 mm (elf3-2 mutant); 1.5-2.5 mm (transgenic lines) | Days to flowering: 20 days (wild type); 40 days (elf3-2 mutant); 25-35 days (transgenic lines),35S Cauliflower mosaic virus promoter,"Plant Transformation, Flowering, Disease Resistance",ELF3,,Agrobacterium,Overexpression
6508556.pdf,10.1002/pld3.9,Zea mays,mutant,Reduced plant height,Plant height: 30.6 ± 4.8 cm; 7.1 ± 2.0 cm | Plant height: 26.4 ± 5.2 cm; 12.2 ± 2.7 cm | Tillers per plant: 0.3 ± 0.7; 0 ± 0 | Plants with POPIT: 0 (0%); 9 (64%) | Plants with POPIT: 0 (0%); 16 (100%) | Tassel branches: 14.6 ± 4.1; 1.1 ± 1.5 | Tassel branches: 23.9 ± 6.1; 3.8 ± 3.0 | Plant height: 30.6 ± 4.8 cm (PCZ); 24.5 ± 6.3 cm (PAC); 7.1 ± 2.0 cm (UCZ) | Plant height: 33.8 ± 7.3 cm (PCZ); 26.4 ± 5.2 cm (PAC); 12.2 ± 2.7 cm (UCZ),,"Above-Ground Biomass Property, Plant Transformation",na2-1,,Unknown,Modification
6508556.pdf,10.1002/pld3.9,Zea mays,mutant,Reduced plant height,Plant height: 30.6 ± 4.8 cm; 7.1 ± 2.0 cm | Plant height: 26.4 ± 5.2 cm; 12.2 ± 2.7 cm | Tillers per plant: 0.3 ± 0.7; 0 ± 0 | Plants with POPIT: 0 (0%); 9 (64%) | Plants with POPIT: 0 (0%); 16 (100%) | Tassel branches: 14.6 ± 4.1; 1.1 ± 1.5 | Tassel branches: 23.9 ± 6.1; 3.8 ± 3.0 | Plant height: 30.6 ± 4.8 cm (PCZ); 24.5 ± 6.3 cm (PAC); 7.1 ± 2.0 cm (UCZ) | Plant height: 33.8 ± 7.3 cm (PCZ); 26.4 ± 5.2 cm (PAC); 12.2 ± 2.7 cm (UCZ),,Above-Ground Biomass Property,na2-1,,Unknown,Modification
6514234.pdf,10.3389/fpls.2019.00584,Oryza sativa,Agrobacterium-mediated overexpression,"Increased yield, nitrogen use efficiency (NUE), nitrogen uptake efficiency (NUPE)",Biomass increased by 22.29% under N225; NUE increased by 10.62% under N75,35S promoter,"Nitrogen Use Efficiency, Above-Ground Biomass Yield",OsATG8a,,Agrobacterium,Overexpression
6514665.pdf,10.3390/ijms20081989,Capsicum annuum l.,Virus-induced gene silencing (VIGS),Salt and Osmotic Stress Tolerance,Expression of MnSOD and POD genes decreased; Increased ROS accumulation | Germination rate under salt stress increased by 87%; Germination rate under osmotic stress increased by 80% | Proline content increased by 200%; MDA content increased by 600% | MDA content increased by 1200%; Chlorophyll content decreased by 30% | Proline content increased by 200%; MDA content increased by 1200% | Increased MDA content (6-fold in silenced plants); Decreased MnSOD and POD expression in silenced plants; Increased germination rate in transgenic Arabidopsis (100% vs. 13% WT under stress),35S promoter,"Drought Tolerance, Salt Tolerance",CaDHN5,,VIGS,Knockdown/Out
6514665.pdf,10.3390/ijms20081989,Capsicum annuum l.,Virus-induced gene silencing (VIGS),Salt and Osmotic Stress Tolerance,Expression of MnSOD and POD genes decreased; Increased ROS accumulation | Germination rate under salt stress increased by 87%; Germination rate under osmotic stress increased by 80% | Proline content increased by 200%; MDA content increased by 600% | MDA content increased by 1200%; Chlorophyll content decreased by 30% | Proline content increased by 200%; MDA content increased by 1200% | Increased MDA content (6-fold in silenced plants); Decreased MnSOD and POD expression in silenced plants; Increased germination rate in transgenic Arabidopsis (100% vs. 13% WT under stress),35S promoter,"Salt Tolerance, Osmotic Stress Tolerance",CaDHN5,,VIGS,Knockdown/Out
6521048.pdf,10.3390/toxins11040186,Pectinophora gossypiella,Insertion in exon 20,Resistance to Bt toxin Cry1Ac,LC50 Cry1Ac: 29.5 μg/mL; LC50 Cry2Ab: 0.408 μg/mL,,Disease Resistance,PgCad1,,Unknown,Modification
6521110.pdf,10.3390/v11040344,Solanum lycopersicum,RNAi-mediated knockdown,Increased PSTVd accumulation and lethal systemic necrosis,"PSTVd levels increased by 2.1 times in 72E compared to EC at 2 wpi; miR398a-3p increased by 5-fold in 72E | PSTVd accumulation levels: line 72E (~2.1 at 2 wpi, ~2.8 at 3 wpi); line EC (1.0 at 2 wpi, ~1.9 at 3 wpi) | miR398, miR398a-3p expression levels increased | ROS production increased in line 72E",CaMV-35S promoter | Endogenous,"Disease Resistance, Gene Expression","SlDCL2s, SlDCL4",,RNAi,Modification
6521110.pdf,10.3390/v11040344,Solanum lycopersicum,RNAi-mediated knockdown,Increased PSTVd accumulation and lethal systemic necrosis,"PSTVd levels increased by 2.1 times in 72E compared to EC at 2 wpi; miR398a-3p increased by 5-fold in 72E | PSTVd accumulation levels: line 72E (~2.1 at 2 wpi, ~2.8 at 3 wpi); line EC (1.0 at 2 wpi, ~1.9 at 3 wpi) | miR398, miR398a-3p expression levels increased | ROS production increased in line 72E",CaMV-35S promoter | Endogenous,"Disease Resistance, Plant Transformation","SlDCL2s, SlDCL4",,RNAi,Modification
6533698.pdf,10.1186/s12870-019-1823-x,Solanum lycopersicum,Agrobacterium tumefaciens-mediated transformation using the pMDC32 vector with a 35S promoter driving sha-miR319d overexpression,Enhanced chilling and heat stress tolerance,Chlorophyll content: higher in OE plants; Fv/Fm: higher in OE plants; O2⁻ generation: lower in OE plants; H2O2 content: lower in OE plants,35S cauliflower mosaic virus promoter,"Disease Resistance, Stress Tolerance",sha-miR319d,,Agrobacterium,Overexpression
6558690.pdf,10.1186/s12870-019-1843-6,Rapid-cycling brassica rapa,Agrobacterium-mediated vacuum infiltration and floral dip transformation,Successful transformation with GFP expression,Transformation rate: 0.1% (1 per 1000 T1 seeds); GFP-positive progenies obtained,2X35S,"Plant Transformation, Genetic Modification",2X35S-GFP,,Agrobacterium,Modification
6558690.pdf,10.1186/s12870-019-1843-6,Rapid-cycling brassica rapa,Agrobacterium-mediated transformation,Successful transformation with GFP expression,Transformation rate: 0.1% (1 per 1000 T1 seeds); GFP-positive progenies obtained,2X35S,"Plant Transformation, Genetic Modification",2X35S-GFP,,Agrobacterium,Modification
6562588.pdf,10.3390/cells8050490,Triticum aestivum,TRV-mediated virus-induced gene silencing (VIGS),phosphorus transport efficiency,fold change in gene expression; percentage of roots colonized by AM fungi,,"Phosphate Transport, Arbuscular Mycorrhizal Symbiosis",TaPHT1,,VIGS,Knockdown/Out
6562588.pdf,10.3390/cells8050490,Triticum aestivum,natural variation,phosphorus transport efficiency,fold change in gene expression; percentage of roots colonized by AM fungi,,"Phosphate Transport, Arbuscular Mycorrhizal Symbiosis",TaPHT1,,Unknown,Modification
