Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,,Mod_Method,Mod_Direction
6359579.pdf,10.3390/ijms20020367,solanum lycopersicum,agrobacterium-mediated transformation,enhanced thermotolerance,higher fresh weight; increased chlorophyll content; higher fluorescence (fv/fm); lower ros accumulation | lower fresh weight; decreased chlorophyll content; lower fluorescence (fv/fm); higher ros accumulation,camv35s,"drought tolerance, disease resistance, photosynthesis",sldnaj20,,agrobacterium,modification
6360591.pdf,10.1155/2019/2182865,morus multicaulis,overexpression,improved glucose regulation,pi3k protein level/gapdh: 0.8; p-akt protein level/gapdh: 0.7; foxo1/gapdh: 0.08 | pi3k protein level/gapdh: 0.8; mrna expression in liver: 0.4 | p-akt protein level/gapdh: 0.7; mrna expression in liver: 0.6,,"gene expression, diabetes resistance",foxo1,,unknown,overexpression
6366713.pdf,10.1371/journal.ppat.1007534,solanum lycopersicum,virus-induced gene silencing (vigs),stunted and curled leaves,vsrna levels increased; sllnr1 expression decreased | sllnr1 expression increased; tylcv accumulation decreased | tylcv accumulation increased | downregulation of sllnr1 by ir-derived vsrnas; increased tylcv accumulation in sllnr1-silenced plants,,"disease resistance, gene expression",sllnr1,,vigs,knockdown/out
6368714.pdf,10.1186/s12985-019-1126-8,nicotiana benthamiana,agrobacterium-mediated expression,"fluorescence, symptom development, rna silencing suppression",fluorescence intensity at 6 dpi; symptom severity at 30 dpi,35s,"disease resistance, virus suppression",aspv cp,,agrobacterium,modification
6371838.pdf,10.3389/fpls.2019.00056,arabidopsis thaliana,agrobacterium-mediated t-dna transfer,"hypoxic response, crown gall development",gall fresh weight: wild type vs. mutants; oxygen consumption rate: 2.5 times increase in galls,"promoter of pco1 gene, hrpex5 promoter","above-ground biomass property, disease resistance, plant transformation","pco1, pco2, erf-vii",,agrobacterium,modification
6372540.pdf,10.3389/fpls.2019.00084,vitis vinifera,agrobacterium-mediated transformation,trans-graft protection against pierce's disease,30-95% reduction in vine mortality; lower pathogen titers; fewer disease symptoms | 30-95% reduction in vine mortality; lower pathogen titers; fewer disease symptoms; increased spring bud break,,"disease resistance, plant transformation",hne-cecb,,agrobacterium,modification
6385007.pdf,10.3390/molecules24030556,solanum lycopersicum,agrobacterium-mediated overexpression,increased tolerance to cadmium and drought stress,germination rate increased by 15-20%; chlorophyll content increased by 38.01%; root fresh weight increased by 57.6%; root activity increased by 2.18 fold,camv 35s promoter,drought tolerance; disease resistance,slmapk3,,agrobacterium,overexpression
6391353.pdf,10.3389/fpls.2019.00134,gossypium hirsutum,agrobacterium-mediated overexpression and rna interference (rnai),enhanced resistance to verticillium dahliae,disease index: 1.5 ± 0.3 (oe lines) vs 3.0 ± 0.4 (wt); fungal recovery assay: 0.8 ± 0.1 (oe lines) vs 1.5 ± 0.2 (wt) | disease index: 4.2 ± 0.5 (rnai lines) vs 3.0 ± 0.4 (wt); fungal recovery assay: 2.0 ± 0.3 (rnai lines) vs 1.5 ± 0.2 (wt),,disease resistance,ghrd21-7,,agrobacterium,overexpression
6393331.pdf,10.3389/fpls.2019.00200,nicotiana tabacum,agrobacterium-mediated overexpression,enhanced drought stress tolerance,relative water content (rwc): 70-75%; chlorophyll content: 1500 μg/g fw; h2o2 content: 600-800 nmol/g fw; o2− content: 3-4 nmol/g fw,camv35s constitutive promoter,"drought tolerance, stress response, photosynthesis",lcsabp,,agrobacterium,overexpression
6399211.pdf,10.3389/fpls.2019.00216,solanum lycopersicum,rna interference (rnai),decreased vascular ring area and number of vascular bundles,vascular ring area: 350 μm²; number of vascular bundles: 10 | vascular ring area: 500 μm²; number of vascular bundles: 14 | fruit weight: 2.5g; seedless fruits: 60% | vascular ring area: 500 μm²,sldof10 promoter | camv 35s,"plant transformation, vascular tissue development",sldof10,,rnai,knockdown/out
6411371.pdf,10.1093/jxb/erz077,triticum aestivum,agrobacterium-mediated overexpression,increased yield and water use efficiency,6% larger yield; 9.4% greater water use efficiency | 20-30% increase in grain yield | 20-30% increase in grain yield; increased spikes production | increased sbpase protein levels; enhanced total biomass; increased dry seed yield,,"drought tolerance, grain yield",hahb4,,agrobacterium,overexpression
6412340.pdf,10.3390/ijms20040866,oryza sativa,crispr/cas9 knockout,leaf morphology,"flag leaf length: 30 cm (wt), 25 cm (mt-1), 20 cm (mt-2); flag leaf width: 1.5 cm (wt), 1.0 cm (mt-1), 0.5 cm (mt-2); flag leaf area: 30 cm² (wt), 25 cm² (mt-1), 20 cm² (mt-2)",,"leaf property, grain yield",loc_os09g26999,,crispr/cas9,knockdown/out
6412738.pdf,10.3390/ijms20040807,oryza sativa,agrobacterium-mediated overexpression,enhanced disease resistance,"lesion area: 11.3-19.0% (oe-1, oe-2, oe-3); control: 51.4% | disease index: 23.11% (oe-3), 20.97% (oe-7); control: 50.78%",camv35s,disease resistance,zmrad51a,,agrobacterium,overexpression
6428781.pdf,10.3389/fpls.2019.00311,arabidopsis thaliana,t-dna insertional knockout,wound-induced lateral root formation,lr number: 8.17 ± 2.12; pr length: 1.30 ± 0.45 | lr number: 8.17 ± 2.12; pr length: 0.5 cm | lr number: 6.33 ± 1.80; pr length: 1.8 cm | lr number: 4.00 ± 1.35; pr length: 2.5 cm,,"root property, root yield",at5g19710,,unknown,knockdown/out
6429524.pdf,10.3390/molecules24050852,holotrichia diomphalia,crispr/cas9 knockout,reduction in th2 cytokine expression,il-5 expression decreased by 40%; il-13 expression decreased by 60%,,"disease resistance, immunomodulation",gata-3,,crispr/cas9,knockdown/out
6433927.pdf,10.1038/s42003-019-0354-1,zea mays,overexpression,feminization of tassels,ja levels decreased; 12oh-ja-ile levels increased | fbn/tbn ratio: 0.0 (wild type); 1.0 (ts2); 1.5 (ts5); 2.0 (ts2; ts5) | mean height: 200 cm (wild type); 180 cm (ts5/+) | ja levels: lower in ts5; 12oh-ja-ile levels: higher in ts5,,"above-ground biomass property, flowering",zmcyp94b1,,unknown,overexpression
6436160.pdf,10.1093/jxb/erz055,arabidopsis thaliana,t-dna insertional knockout,"growth retardation, male gametophytic sterility",glcn content decreased by 90%; udp-glcnac content decreased by 90% | glcn content increased by 200%; udp-glcnac content increased by 200% | glcn content decreased by 50%; udp-glcnac content decreased by 50% | growth defect; reduced silique length; decreased seed yield | increased glcn content; enhanced tm resistance | decreased glcn content; impaired pollen germination,,"plant transformation, gene expression",atgfat1,,unknown,knockdown/out
6441654.pdf,10.1038/s41438-019-0131-9,eriobotrya japonica,overexpression,increased lignin content,lignin content increased by 15%; expression level increased by 2.5-fold | lignin content decreased by 10%; expression level decreased by 1.8-fold | lignin content decreased by 8%; expression level decreased by 1.5-fold,,"fruit property, disease resistance",ejpal2,,unknown,overexpression
6451029.pdf,10.1038/s41598-019-42177-y,triticum aestivum,agrobacterium-mediated overexpression using the pubi promoter,enhanced powdery mildew resistance,increased tapr1/2 gene expression; higher reactive oxygen species (ros) accumulation,pubi,disease resistance,tajaz1,,agrobacterium,overexpression
6464244.pdf,10.1371/journal.ppat.1007620,triticum aestivum,transgenic expression,increased susceptibility to infection,higher proportion of germinated conidia forming haustoria,,"disease resistance, plant transformation",csep0064/bec1054,,unknown,modification
6470564.pdf,10.3390/molecules24061101,diospyros kaki,natural,antioxidant activity,concentration: 3.12 ± 0.21 mg/g; recovery: 92.8 ± 0.8% | concentration: 1.68 ± 0.14 mg/g; recovery: 84.3 ± 0.5% | concentration: 1.65 ± 0.18 mg/g; recovery: 88.6 ± 1.4% | concentration: 2.73 ± 0.15 mg/g; recovery: 90.4 ± 0.8% | concentration: 0.52 ± 0.13 mg/g; recovery: 107.4 ± 1.7% | concentration: 5.19 ± 0.10 mg/g; recovery: 101.2 ± 5.3% | concentration: 6.43 ± 0.35 mg/g; recovery: 95.6 ± 1.3% | ec50: 119 ± 6 μm (dpph); ec50: 80 ± 3 μm (abts) | ec50: 140 ± 2 μm (dpph); ec50: 81 ± 2 μm (abts),,"gene expression, chemicals",kaempferol-3-o-glucoside,,unknown,modification
6470693.pdf,10.3390/ijms20061303,setaria italica,agrobacterium-mediated overexpression,drought tolerance,higher survival rate under drought conditions; lower mda content under drought stress,,"drought tolerance, disease resistance",siwlim2b,,agrobacterium,overexpression
6478000.pdf,10.3389/fpls.2019.00461,arabidopsis thaliana,t-dna insertional knockout,reduced adventitious root formation,number of ars: 1-4 at 2 dae; 5-8 at 3 dae; 8-12 at 4 dae; 9-12 at 6 dae,,"root property, root yield, disease resistance",abcb19,,unknown,knockdown/out
6479188.pdf,10.3389/fpls.2019.00483,triticum aestivum,rnai,increased synthesis of si/mirna,1.5x; 2.0x; 3.0x; 2.5x,,"disease resistance, gene expression",si/mirna,,rnai,modification
6487051.pdf,10.1186/s12863-019-0740-1,brassica oleracea,sequence variation with a 67 bp insertion in intron 2,early flowering,83% phenotypic variation explained in f2 population; 80% match in commercial lines,,"flowering, genetic markers",boflc1.c9,,unknown,modification
6489235.pdf,10.1186/s12896-019-0516-8,arachis hypogaea,crispr/cas9 knockout,increased oleic acid content,oleic acid content >80%; oleic acid content 50–60%; oleic acid content 40–50%,,"disease resistance, photosynthesis, lipid metabolism","ahfad2a, ahfad2b",,crispr/cas9,knockdown/out
6506775.pdf,10.1093/jxb/erz095,oryza sativa,crispr/cas9 knockout; agrobacterium-mediated overexpression,delayed leaf senescence,relative transcript levels of osmyb102 in senescing wt leaves: 1.0; relative transcript levels of osmyb102 in detached leaf discs during dis: 2.0; relative aba content in osmyb102-d and osmyb102-ox lines: 0.8,35s promoter,leaf property; disease resistance,osmyb102,,agrobacterium,overexpression
6508531.pdf,10.1002/pld3.49,oryza sativa,agrobacterium-mediated gene-targeting system (homologous recombination),root-specific expression of rsospr10,gus mrna levels: 0.3 (mock) vs. 2.34 (ja-treated) | rsospr10 expression levels: 1.0 (wild-type) vs. 0.3 (oswrky76-ko) | rsospr10 expression levels: 0.5 (wild-type) vs. 1.5 (oserf87 overexpressing) | fold change in expression: 2.34 (ja treatment); 1.97 (ja treatment with gcc box mutations); 2.21 (ja treatment with w box mutation),rsospr10 promoter | rsospr10,"above-ground biomass property, drought tolerance",rsospr10,,agrobacterium,modification
6508535.pdf,10.1002/pld3.18,arabidopsis thaliana,agrobacterium-mediated overexpression,rescued hypocotyl elongation,hypocotyl length: 2.0 mm (wild type); 5.0 mm (elf3-2 mutant); 1.5-2.5 mm (transgenic lines) | days to flowering: 20 days (wild type); 40 days (elf3-2 mutant); 25-35 days (transgenic lines),35s cauliflower mosaic virus promoter,"plant transformation, flowering, disease resistance",elf3,,agrobacterium,overexpression
6508556.pdf,10.1002/pld3.9,zea mays,mutant,reduced plant height,plant height: 30.6 ± 4.8 cm; 7.1 ± 2.0 cm | plant height: 26.4 ± 5.2 cm; 12.2 ± 2.7 cm | tillers per plant: 0.3 ± 0.7; 0 ± 0 | plants with popit: 0 (0%); 9 (64%) | plants with popit: 0 (0%); 16 (100%) | tassel branches: 14.6 ± 4.1; 1.1 ± 1.5 | tassel branches: 23.9 ± 6.1; 3.8 ± 3.0 | plant height: 30.6 ± 4.8 cm (pcz); 24.5 ± 6.3 cm (pac); 7.1 ± 2.0 cm (ucz) | plant height: 33.8 ± 7.3 cm (pcz); 26.4 ± 5.2 cm (pac); 12.2 ± 2.7 cm (ucz),,"above-ground biomass property, plant transformation",na2-1,,unknown,modification
6514234.pdf,10.3389/fpls.2019.00584,oryza sativa,agrobacterium-mediated overexpression,"increased yield, nitrogen use efficiency (nue), nitrogen uptake efficiency (nupe)",biomass increased by 22.29% under n225; nue increased by 10.62% under n75,35s promoter,"nitrogen use efficiency, above-ground biomass yield",osatg8a,,agrobacterium,overexpression
6514665.pdf,10.3390/ijms20081989,capsicum annuum l.,virus-induced gene silencing (vigs),salt and osmotic stress tolerance,expression of mnsod and pod genes decreased; increased ros accumulation | germination rate under salt stress increased by 87%; germination rate under osmotic stress increased by 80% | proline content increased by 200%; mda content increased by 600% | mda content increased by 1200%; chlorophyll content decreased by 30% | proline content increased by 200%; mda content increased by 1200% | increased mda content (6-fold in silenced plants); decreased mnsod and pod expression in silenced plants; increased germination rate in transgenic arabidopsis (100% vs. 13% wt under stress),35s promoter,"drought tolerance, salt tolerance",cadhn5,,vigs,knockdown/out
6521048.pdf,10.3390/toxins11040186,pectinophora gossypiella,insertion in exon 20,resistance to bt toxin cry1ac,lc50 cry1ac: 29.5 μg/ml; lc50 cry2ab: 0.408 μg/ml,,disease resistance,pgcad1,,unknown,modification
6521110.pdf,10.3390/v11040344,solanum lycopersicum,rnai-mediated knockdown,increased pstvd accumulation and lethal systemic necrosis,"pstvd levels increased by 2.1 times in 72e compared to ec at 2 wpi; mir398a-3p increased by 5-fold in 72e | pstvd accumulation levels: line 72e (~2.1 at 2 wpi, ~2.8 at 3 wpi); line ec (1.0 at 2 wpi, ~1.9 at 3 wpi) | mir398, mir398a-3p expression levels increased | ros production increased in line 72e",camv-35s promoter | endogenous,"disease resistance, gene expression","sldcl2s, sldcl4",,rnai,modification
6533698.pdf,10.1186/s12870-019-1823-x,solanum lycopersicum,agrobacterium tumefaciens-mediated transformation using the pmdc32 vector with a 35s promoter driving sha-mir319d overexpression,enhanced chilling and heat stress tolerance,chlorophyll content: higher in oe plants; fv/fm: higher in oe plants; o2⁻ generation: lower in oe plants; h2o2 content: lower in oe plants,35s cauliflower mosaic virus promoter,"disease resistance, stress tolerance",sha-mir319d,,agrobacterium,overexpression
6558690.pdf,10.1186/s12870-019-1843-6,rapid-cycling brassica rapa,agrobacterium-mediated vacuum infiltration and floral dip transformation,successful transformation with gfp expression,transformation rate: 0.1% (1 per 1000 t1 seeds); gfp-positive progenies obtained,2x35s,"plant transformation, genetic modification",2x35s-gfp,,agrobacterium,modification
